role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Performing Artist,608,6.0200715,5.812741
Recreation Program Coordinator,609,7.4908037,2.6344554
Religious Leader,610,7.7519627,2.4477494
Religious Teacher,611,8.133736,1.5184087
School Bus Coordinator,612,8.025013,1.7674624
Science Educator,613,8.124242,1.4688765
Social Services Advocate,614,8.107556,2.6147437
Social Services Evaluator,615,8.0726185,2.563442
Social Support Worker,616,8.243511,2.6015007
Special Education Teacher,617,8.219181,1.601519
Spiritual Care Chaplain,618,8.146073,2.5067344
Sports Coach,619,8.600835,2.374801
Sports Operations,620,7.385065,5.5486374
Student Welfare Advisor,621,7.0190144,2.0162501
Youth Educator,622,8.093891,1.6083766
Apprenticeship Facilitator,623,8.267564,0.70217663
Aviation Instructor,624,8.255167,1.1497799
Corporate Trainer,625,8.362911,0.64511013
Cybersecurity Instructor,626,8.271232,1.0037888
Language Coach,627,8.283133,1.7347778
Learning Designer,628,7.9167786,1.1886797
